title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,hasFemaleDirector,hasFemaleWriter,primaryDirGender,primaryWriterGender
"Private Life of Henry VIII., The",1933,24473.0,1248,1,7.0,4880.0,97,Biography,Drama,,0,0,M,M
Queen Christina,1933,24481.0,1330,3,7.5,8643.0,99,Biography,Drama,Romance,0,1,M,unknown
King Kong,1933,24216.0,2229,0,7.9,91203.0,100,Adventure,Horror,,0,1,unknown,M
Little Women,1933,24264.0,2231,3,7.2,7946.0,115,Drama,Family,Romance,0,1,M,F
Alice in Wonderland,1933,23753.0,3188,3,6.3,2626.0,76,Adventure,Family,Fantasy,0,0,M,M
"Vampire Bat, The",1933,24727.0,3210,3,5.7,3059.0,65,Drama,Horror,Mystery,0,0,M,M
42nd Street,1933,24034.0,4335,3,7.3,13066.0,89,Comedy,Drama,Musical,0,1,M,F
Day of Reckoning,1933,23932.0,5029,3,6.4,280.0,69,Drama,,,0,1,M,F
Duck Soup,1933,23969.0,5185,1,7.7,62814.0,69,Comedy,Musical,,0,0,M,M
Tomorrow at Seven,1933,24679.0,5752,3,5.6,408.0,62,Comedy,Crime,Drama,0,0,M,M
Gold Diggers of 1933,1933,24069.0,5916,3,7.7,9170.0,97,Comedy,Drama,Musical,0,0,M,M
Female,1933,24008.0,6056,3,6.7,1922.0,60,Comedy,Drama,Romance,0,1,M,M
A Study in Scarlet,1933,24625.0,6193,3,5.6,1199.0,72,Mystery,Thriller,,0,0,M,M
"Invisible Man, The",1933,24184.0,7450,1,7.6,40100.0,71,Horror,Sci-Fi,,0,0,M,unknown
Baby Face,1933,23775.0,7528,3,7.5,8190.0,71,Drama,Romance,,0,1,M,M
Design for Living,1933,23940.0,8346,1,7.4,7791.0,91,Comedy,Mystery,Romance,0,0,M,M
Cavalcade,1933,23876.0,8477,3,5.8,6008.0,112,Drama,Romance,War,0,0,M,M
"Kennel Murder Case, The",1933,24210.0,10492,1,6.9,4095.0,73,Crime,Drama,Mystery,0,0,M,unknown
She Done Him Wrong,1933,24548.0,10702,2,6.3,7059.0,66,Comedy,Drama,History,0,1,M,F
Sons of the Desert,1933,24601.0,10714,3,7.5,9605.0,68,Comedy,Family,,0,0,M,M
It Happened One Night,1934,25316.0,621,3,8.1,112604.0,105,Comedy,Romance,,0,0,M,M
"Count of Monte Cristo, The",1934,25004.0,1246,1,7.4,3254.0,113,Action,Adventure,Drama,0,0,M,M
Cleopatra,1934,24991.0,1270,1,6.8,4632.0,100,Biography,Drama,History,0,0,M,M
"Cat&#39;s-Paw, The",1934,24961.0,1324,1,6.6,1378.0,102,Comedy,,,0,0,M,M
"Scarlet Empress, The",1934,25746.0,1325,3,7.5,7252.0,104,Drama,History,Romance,0,1,M,M
"Painted Veil, The",1934,25617.0,1329,1,6.5,1727.0,85,Drama,Romance,,0,1,M,M
Of Human Bondage,1934,25586.0,1379,1,7.0,8412.0,83,Drama,Film-Noir,Romance,0,1,M,M
L&#39;atalante,1934,24844.0,1795,0,7.7,17517.0,89,Comedy,Drama,Romance,0,0,M,M
"Lost Patrol, The",1934,25423.0,1969,0,6.8,3613.0,73,Action,Adventure,Drama,0,0,M,M
Spitfire,1934,25822.0,4443,3,5.4,905.0,87,Drama,,,0,1,M,F
Maniac,1934,25465.0,4702,3,3.7,2708.0,51,Horror,Sci-Fi,,0,1,M,F
Anne of Green Gables,1934,24831.0,5319,3,7.0,1447.0,78,Comedy,Drama,Family,0,1,M,M
Lost in the Stratosphere,1934,25424.0,5523,2,4.3,137.0,64,Action,Adventure,Comedy,0,0,unknown,M
Search for Beauty,1934,25755.0,5821,3,6.0,747.0,78,Comedy,Crime,Romance,0,1,unknown,M
Evelyn Prentice,1934,25091.0,6772,3,6.9,1871.0,79,Drama,Mystery,Romance,0,1,M,F
"Man Who Knew Too Much, The",1934,25452.0,7304,3,6.7,21238.0,75,Crime,Mystery,Thriller,0,1,M,M
Imitation of Life,1934,25301.0,7999,3,7.5,5662.0,111,Comedy,Drama,Romance,0,1,M,F
Mystery Liner,1934,25543.0,8653,0,4.6,511.0,62,Adventure,Mystery,,0,0,M,M
It&#39;s a Gift,1934,25318.0,10824,3,7.1,5766.0,68,Comedy,,,0,0,M,M
Top Hat,1935,27125.0,595,2,7.7,20752.0,101,Comedy,Musical,Romance,0,0,M,M
"39 Steps, The",1935,26029.0,1242,3,7.6,61679.0,86,Crime,Mystery,Thriller,0,0,M,M
Anna Karenina,1935,26071.0,1261,2,7.0,5810.0,95,Drama,Romance,,0,1,M,M
Mutiny on the Bounty,1935,26752.0,1361,1,7.6,24919.0,132,Adventure,Biography,Drama,0,1,M,M
Naughty Marietta,1935,26768.0,1685,3,6.5,1543.0,105,Drama,Musical,Romance,0,1,M,M
Roberta,1935,26942.0,2362,3,7.0,3664.0,106,Comedy,Musical,Romance,0,1,M,M
Magnificent Obsession,1935,26667.0,2756,3,6.8,1132.0,112,Drama,Romance,,0,1,M,F
A Night At The Opera,1935,26778.0,3881,1,7.8,34829.0,96,Comedy,Music,Musical,0,0,M,M
"Bride of Frankenstein, The",1935,26138.0,3891,3,7.8,53387.0,75,Drama,Horror,Sci-Fi,0,1,M,F
"Lady in Scarlet, The",1935,26599.0,5750,2,5.9,191.0,65,Mystery,Romance,,0,1,M,M
"Riverside Murder, The",1935,26939.0,5913,2,5.8,369.0,64,Crime,Mystery,,0,0,M,M
Mad Love,1935,26663.0,7998,2,7.2,5890.0,68,Horror,Romance,Sci-Fi,0,1,M,M
Swing Time,1936,28333.0,596,1,7.5,14616.0,103,Comedy,Musical,Romance,0,1,M,M
"Charge of the Light Brigade, The",1936,27438.0,1237,1,7.0,5494.0,115,Action,Adventure,Romance,0,0,M,M
Modern Times,1936,27977.0,1323,0,8.5,260193.0,87,Comedy,Drama,Romance,0,0,M,M
San Francisco,1936,28216.0,1359,1,7.2,6122.0,115,Drama,Music,Romance,0,1,unknown,F
Wife vs. Secretary,1936,28505.0,1360,2,7.0,3906.0,88,Comedy,Drama,Romance,0,1,M,M
"Petrified Forest, The",1936,28096.0,1369,3,7.5,14978.0,82,Drama,Thriller,,0,0,M,M
Mr. Deeds Goes to Town,1936,27996.0,1992,3,7.8,23268.0,115,Comedy,Drama,Romance,0,0,M,M
Born to Dance,1936,27387.0,2363,3,6.7,1942.0,106,Comedy,Musical,Romance,0,0,M,M
Revolt of the Zombies,1936,28174.0,2554,0,3.4,1886.0,65,Adventure,Horror,,0,0,M,M
Earthworm Tractors,1936,27562.0,2699,1,6.3,501.0,69,Comedy,,,0,0,M,M
Osaka Elegy,1936,28021.0,2853,3,7.2,2606.0,90,Comedy,Drama,,0,0,M,M
Theodora Goes Wild,1936,28355.0,3280,3,7.1,2958.0,94,Comedy,Mystery,Romance,0,1,M,M
"Great Ziegfeld, The",1936,27698.0,3401,3,6.6,9042.0,176,Drama,Musical,,0,0,M,M
"Mandarin Mystery, The",1936,29207.0,3548,3,5.3,460.0,66,Comedy,Crime,Film-Noir,0,1,M,M
"Only Son, The",1936,27752.0,3560,3,7.7,4051.0,87,Drama,,,0,0,unknown,unknown
Camille,1936,28683.0,3598,3,7.3,8765.0,109,Drama,Romance,,0,1,M,F
Pennies from Heaven,1936,28092.0,4010,3,6.5,796.0,81,Comedy,Drama,Music,0,1,M,F
Romeo and Juliet,1936,28203.0,4069,3,6.5,2237.0,125,Drama,Romance,,0,0,M,M
Bullets or Ballots,1936,27407.0,4143,3,7.0,3521.0,82,Crime,Drama,Film-Noir,0,0,M,unknown
My Man Godfrey,1936,28010.0,5852,2,7.9,26520.0,94,Comedy,Drama,Romance,0,1,M,unknown
Sabotage,1936,28212.0,5926,3,7.0,18808.0,76,Crime,Thriller,,0,1,M,M
Fury,1936,27652.0,6096,2,7.8,13757.0,92,Crime,Drama,Film-Noir,0,0,M,unknown
Murder at Glen Athol,1936,28000.0,6174,3,5.9,308.0,67,Crime,Mystery,Romance,0,0,M,M
These Three,1936,28356.0,7227,2,7.4,3044.0,93,Drama,Romance,,0,1,M,F
Secret Agent,1936,28231.0,7308,3,6.4,9061.0,86,Mystery,Thriller,,0,0,M,M
Dracula&#39;s Daughter,1936,27545.0,7992,3,6.3,8042.0,71,Drama,Fantasy,Horror,0,0,M,M
Shall We Dance,1937,29546.0,597,1,7.4,7874.0,109,Comedy,Musical,Romance,0,1,M,M
Stage Door,1937,29604.0,631,3,7.7,9046.0,92,Comedy,Drama,Romance,0,1,M,unknown
Stella Dallas,1937,29608.0,795,3,7.4,6299.0,106,Drama,Romance,,0,1,M,F
"Prisoner of Zenda, The",1937,29442.0,1240,1,7.6,5078.0,101,Adventure,Drama,Romance,0,0,M,M
Knight Without Armor,1937,29087.0,1244,2,6.8,1462.0,107,Adventure,Drama,History,0,1,M,M
Conquest,1937,28739.0,1332,2,6.5,1682.0,113,Drama,History,Mystery,0,1,M,M
Topper,1937,29682.0,1335,2,7.2,8339.0,97,Comedy,Fantasy,Romance,0,0,M,M
Lost Horizon,1937,29162.0,1336,2,7.6,14483.0,132,Adventure,Drama,Fantasy,0,0,M,M
Parnell,1937,29377.0,1358,2,5.3,567.0,118,Biography,Drama,Romance,0,1,M,M
Snow White and the Seven Dwarfs,1937,29583.0,1976,3,7.6,216047.0,83,Adventure,Animation,Family,0,1,M,M
A Day at the Races,1937,28772.0,2382,2,7.5,14616.0,111,Comedy,Family,Musical,0,0,M,M
Nothing Sacred,1937,29322.0,3968,0,6.8,7291.0,77,Comedy,Drama,Fantasy,0,0,M,M
Make Way for Tomorrow,1937,29192.0,4255,3,8.2,9545.0,91,Drama,Romance,,0,1,M,unknown
Murder at the Baskervilles (Silver Blaze),1937,29565.0,5617,1,5.7,789.0,71,Crime,Mystery,,0,0,M,M
Pepe le Moko,1937,29453.0,5740,2,7.7,8079.0,94,Crime,Drama,Romance,0,0,M,M
"Awful Truth, The",1937,28597.0,6554,3,7.7,21431.0,90,Comedy,Romance,,0,0,M,unknown
